week,industry,report_count,methods,n_methods,severity_score
2017-06-26,Vegetables/Vegetable Products,1,cusum,1,31.996
2013-12-23,Milk/Butter/Dried Milk Prod,1,cusum,1,31.884
2009-08-31,Bakery Prod/Dough/Mix/Icing,7,cusum,1,31.616
2013-12-30,Milk/Butter/Dried Milk Prod,7,cusum,1,31.375
2015-12-28,Cereal Prep/Breakfast Food,2,cusum,1,31.142
2016-09-26,Cosmetics,168,cusum,1,31.06
2007-12-17,Nuts/Edible Seed,31,cusum,1,30.978
2009-02-09,Bakery Prod/Dough/Mix/Icing,35,cusum,1,30.702
2017-03-06,Vegetables/Vegetable Products,40,cusum,1,30.676
2007-10-29,Nuts/Edible Seed,1,cusum,1,30.642
2009-09-07,Bakery Prod/Dough/Mix/Icing,3,cusum,1,30.432
2016-01-04,Cereal Prep/Breakfast Food,3,cusum,1,30.179
2014-01-06,Milk/Butter/Dried Milk Prod,1,cusum,1,30.139
2009-10-12,Bakery Prod/Dough/Mix/Icing,10,cusum,1,30.078
2007-12-31,Nuts/Edible Seed,2,cusum,1,29.59
2016-01-11,Cereal Prep/Breakfast Food,4,cusum,1,29.4
2017-03-13,Vegetables/Vegetable Products,1,cusum,1,29.298
2009-10-19,Bakery Prod/Dough/Mix/Icing,5,cusum,1,29.265
2007-11-12,Nuts/Edible Seed,2,cusum,1,29.253
2014-01-13,Milk/Butter/Dried Milk Prod,3,cusum,1,29.145
2015-09-14,Cereal Prep/Breakfast Food,16,zscore,1,29.111
2007-09-03,Nuts/Edible Seed,56,cusum,1,29.08
2009-09-14,Bakery Prod/Dough/Mix/Icing,2,cusum,1,29.062
2017-02-27,Vegetables/Vegetable Products,27,cusum,1,28.504
2008-01-07,Nuts/Edible Seed,4,cusum,1,28.401
2009-11-02,Bakery Prod/Dough/Mix/Icing,11,cusum,1,28.381
2016-09-19,Cosmetics,89,cusum,1,28.312
2014-01-20,Milk/Butter/Dried Milk Prod,4,cusum,1,28.273
2007-11-26,Nuts/Edible Seed,5,cusum,1,28.164
2009-10-26,Bakery Prod/Dough/Mix/Icing,3,cusum,1,28.08
2016-01-18,Cereal Prep/Breakfast Food,1,cusum,1,28.07
2009-11-16,Bakery Prod/Dough/Mix/Icing,5,cusum,1,28.053
2009-09-21,Bakery Prod/Dough/Mix/Icing,3,cusum,1,27.878
2016-09-12,Cosmetics,143,cusum,1,27.533
2008-01-14,Nuts/Edible Seed,7,cusum,1,27.511
2016-09-26,Vit/Min/Prot/Unconv Diet(Human/Animal),148,cusum,1,27.17
2014-01-27,Milk/Butter/Dried Milk Prod,2,cusum,1,27.158
2016-09-19,Vit/Min/Prot/Unconv Diet(Human/Animal),208,cusum,1,26.963
2016-01-25,Cereal Prep/Breakfast Food,2,cusum,1,26.924
2016-02-01,Cereal Prep/Breakfast Food,8,cusum,1,26.88
2017-03-27,Vegetables/Vegetable Products,4,cusum,1,26.816
2016-11-14,Vit/Min/Prot/Unconv Diet(Human/Animal),186,cusum,1,26.798
2016-08-29,Vit/Min/Prot/Unconv Diet(Human/Animal),310,cusum,1,26.771
2009-11-23,Bakery Prod/Dough/Mix/Icing,1,cusum,1,26.498
2016-10-10,Vit/Min/Prot/Unconv Diet(Human/Animal),144,cusum,1,26.422
2016-12-19,Vit/Min/Prot/Unconv Diet(Human/Animal),160,cusum,1,26.288
2016-10-03,Vit/Min/Prot/Unconv Diet(Human/Animal),76,cusum,1,26.276
2016-09-05,Vit/Min/Prot/Unconv Diet(Human/Animal),91,cusum,1,26.106
2008-01-21,Nuts/Edible Seed,1,cusum,1,26.022
2016-11-07,Vit/Min/Prot/Unconv Diet(Human/Animal),189,cusum,1,26.01
2014-02-03,Milk/Butter/Dried Milk Prod,1,cusum,1,25.922
2016-12-12,Vit/Min/Prot/Unconv Diet(Human/Animal),98,cusum,1,25.898
2015-06-22,Ice Cream Prod,4,cusum,1,25.874
2016-09-12,Vit/Min/Prot/Unconv Diet(Human/Animal),117,cusum,1,25.839
2016-12-26,Vit/Min/Prot/Unconv Diet(Human/Animal),103,cusum,1,25.807
